id,label,left_name,left_addr,left_city,left_phone,left_category,left_class,right_name,right_addr,right_city,right_phone,right_category,right_class
0,0,Toulouse,'B Peachtree Rd.',Atlanta,+1-404-351-9533,French,92.0,White House Restaurant,3172 Peachtree Rd. NE,Atlanta,+1-404-237-7601,Diner,719
1,0,Gallagher's,228 W. Boulevard,New York,+1-212-245-5336,American,254.0,La Grenouille,3 E. 52nd St.,New York City,+1-212-752-1495,French (Classic),623
2,0,Center Stage Plaza Hotel,1 Main St.,Las Vegas,+1-702-386-2512,american,436.0,Chinois on Main,2709 Main St.,Santa Monica,+1-310-392-9025,Pacific New Wave,5
3,0,Sa Tsu Ki,3043 Buford Hwy.,Atlanta,+1-404-325-5285,Asian,415.0,Havana Sandwich Shop,2905 Buford Hwy.,Atlanta,+1-404-636-4094,Cuban,695
4,0,Pinot Bistro,12969 Ventura Boulevard,Los Angeles,+1-818-990-0500,French,18.0,Mulberry St,17040 Ventura Blvd,Encino,+1-818-906-8881,pizza,580
5,0,China Grill,60 W. Boulevard,New York,+1-212-333-7788,American,219.0,Seryna,11 E. 53rd St.,New York City,+1-212-980-9393,Japanese,59
6,0,Lespinasse,2 E. 55th St.,New York,+1-212-339-6719,american,43.0,La Caravelle,33 W. Boulevard,New York City,+1-212-586-4252,French (Classic),39
7,0,Tang Pavilion,65 W. 55th St.,New York,+1-212-956-6888,asian,356.0,Menchanko-tei,39 W. 55th St.,New York City,+1-212-247-1585,Japanese,627
8,0,Aquavit,13 W. Boulevard,New York,+1-212-307-7311,Continental,24.0,Oceana,55 E. 54th St.,New York City,+1-212-759-5941,Seafood,50
9,0,Abbey,163 Ponce De Leon Ave.,Atlanta,+1-404-876-8532,International,379.0,eats,600 Ponce De Leon Ave.,Atlanta,+1-404-888-9149,Italian,690
10,0,Fifty Seven Fifty Seven,57 E. 57th St.,New York,+1-212-758-5757,American,239.0,Oceana,55 E. Boulevard,New York City,+1-212-759-5941,Seafood,50
11,0,Grand Cafe Hotel Monaco,501 Geary St.,San Francisco,+1-415-292-0101,american,473.0,Mel's Drive-In,3355 Geary St.,San Francisco,+1-415-387-2244,Hamburgers,739
12,0,Horseradish Grill,4320 Powers Ferry Rd.,Atlanta,+1-404-255-7277,Southern,398.0,Carey's Corner,1215 Powers Ferry Rd.,Marietta,+1-770-933-0909,Hamburgers,686
13,0,Luna Si,1931 Peachtree Rd.,Atlanta,+1-404-355-5993,Continental,405.0,Original Pancake House (at),4330 Peachtree Rd,Atlanta,+1-404-237-4116,American,708
14,0,Bruno,240 E. 58th St.,New York,+1-212-688-4190,Italian,195.0,Les Celebrites,155 W. 58th St.,New York,+1-212-484-5113,French (Classic),42
15,0,Eclipse,8800 Melrose Ave.,Los Angeles,+1-310-724-5959,californian,132.0,Mo Better Meatty Meat,7261 Melrose Avenue,Los Angeles,+1-213-935-5280,Hamburgers,579
16,0,Pacific Dining Car,6th St.,Los Angeles,+1-213-483-6000,American,153.0,Andre's French Restaurant,401 S. 6th St.,Las Vegas,+1-702-385-5016,French (Classic),656
17,1,Rainbow Room,30 Rockefeller Plaza,New York,+1-212-632-5000,American,55.0,Rainbow Room,30 Rockefeller Plaza,New York,+1-212-632-5000,American,55
18,1,Cafe Claude,7 Claude La ,San Francisco,+1-415-392-3505,French,97.0,Cafe Claude,7 Claude Ln.,San Francisco,+1-415-392-3505,French Bistro,97
19,0,Yolie's,3900 Paradise Rd.,Las Vegas,+1-702-794-0700,Steak House,452.0,Nicky Blair,3925 Paradise Rd.,Las Vegas,+1-702-792-9900,Italian,668
20,0,Heera of India,595 Piedmont Ave. Rio Shopping Mall,Atlanta,+1-404-876-4408,Asian,83.0,Rose of India,308 E. Sixth St.,New York City,+1-212-533-5011,Indian,638
21,0,osteria del forno,519 columbus ave,san francisco,+1-415-982-1124,italian,490.0,Campo Santo,240 Columbus Ave.,San Francisco,+1-415-433-9623,Mexican,724
22,0,Bertolini's,3570 Las Vegas Boulevard South,Las Vegas,+1-702-735-4663,Italian,427.0,Moongate,3400 Las Vegas Boulevard South,Las Vegas,+1-702-791-7352,chinese,666
23,0,Maykadeh,470 Green St.,San Francisco,+1-415-362-8286,Greek and Middle Eastern,495.0,Greenwood's,1087 Green St.,Roswell,+1-770-992-5383,Southern/Soul,693
24,0,Dawat,210 E. 58th St.,New York,+1-212-355-7555,Asian,32.0,Petrossian,182 W. 58th St.,New York City,+1-212-245-2214,Russian,52
25,0,The Bacchanal,3570 Las Vegas Boulevard South,Las Vegas,+1-702-731-7525,Only in Las Vegas,449.0,The Steak House,2880 Las Vegas Boulevard South,Las Vegas,+1-702-734-0410,Steakhouses,72
26,0,Posto,14928 Ventura Boulevard,Sherman Oaks,+1-818-784-4400,Italian,156.0,Rubin's Red Hots,15322 Ventura Boulevard,Encino,+1-818-905-6515,Hot Dogs,590
27,0,Antonio's,3700 W. Flamingo,Las Vegas,+1-702-252-7737,italian,423.0,Buzio's in the Rio,3700 W. Flamingo Rd.,Las Vegas,+1-702-252-7697,seafood,658
28,0,Ruth's Chris,148 W. 51st St.,New York,+1-212-245-9600,American,338.0,Le Bernardin,155 W. 51st St.,New York City,+1-212-489-1515,Seafood,41
29,0,Tommy Tang,7313 Melrose Avenue,Los Angeles,+1-213-937-5733,Asian,167.0,Patina,5955 Melrose Avenue,Los Angeles,+1-213-467-1108,californian,16
30,0,Circus Circus,2880 Las Vegas Boulevard South,Las Vegas,+1-702-734-0410,Buffet,437.0,Sterling Brunch,3645 Las Vegas Boulevard South,Las Vegas,+1-702-739-4651,eclectic,673
31,0,Orangerie,903 N. La Cienega Blvd.,Los Angeles,+1-310-652-9770,French,11.0,Matsuhisa,129 N. La Cienega Blvd.,Beverly Hills,+1-310-659-9639,Seafood,14
32,0,Vong,200 E. 54th St.,New York,+1-212-486-9592,american,373.0,Sparks Steak House,210 E. 46th St.,New York,+1-212-687-4855,Steakhouses,641
33,0,Margarita's Mexican Cantina,3120 Las Vegas Boulevard South,Las Vegas,+1-702-794-8200,Mexican,444.0,The Steak House,2880 Las Vegas Boulevard South,Las Vegas,+1-702-734-0410,Steakhouses,72
34,0,Dining Room Ritz-Carlton Buckhead,3434 Peachtree Rd.,Atlanta,+1-404-237-2700,International,90.0,Palm The (Atlanta),3391 Peachtree Rd. NE,Atlanta,+1-404-814-1955,Steakhouses,709
35,0,Dante's Down The Hatch Buckhead,3380 Peachtree Rd.,Atlanta,+1-404-266-1600,Continental,393.0,Abruzzi,2355 Peachtree Rd. NE,Atlanta,+1-404-261-8186,Italian,74
36,0,Helmand,430 Broadway,San Francisco,+14153620641,Greek and Middle Eastern,479.0,La Caridad,2199 Broadway,New York City,+1-212-874-2780,Cuban,622
37,0,Ralph's Diner,3000 Las Vegas Boulevard South,Las Vegas,+1-702-732-6330,Coffee Shop,448.0,Tre Visi,3799 Las Vegas Blvd S,Las Vegas,+1-702-891-7331,Italian,674
38,0,Yoyo Tsumami Bistro,1611 Post Street,San Francisco,+14159227788,French,530.0,Postrio,545 Post Street,San Francisco,+14157767825,californian,109
39,1,Seryna,11 E. 53rd St.,New York,+1-212-980-9393,asian,59.0,Seryna,11 E. 53rd St.,New York City,+1-212-980-9393,Japanese,59
40,0,Luna Si,1931 Peachtree Rd.,Atlanta,+1-404-355-5993,Continental,405.0,Brookhaven Cafe,4274 Peachtree Rd.,Atlanta,+1-404-231-5907,Vegetarian,682
41,0,Mikado,3400 Las Vegas Boulevard South,Las Vegas,+1-702-791-7111,Asian,446.0,Monte Carlo,3145 Las Vegas Boulevard South,Las Vegas,+17027334524,French,665
42,0,Bistro,3400 Las Vegas Boulevard South,Las Vegas,+1-702-791-7111,Continental,429.0,Moongate,3400 Las Vegas Boulevard South,Las Vegas,+1-702-791-7352,Chinese,666
43,0,Cafe Fes,246 W. 4th St. at Charles St.,New York,+1-212-924-7653,Mediterranean,205.0,Cafe Flore,2298 Market St.,San Francisco,+1-415-621-8579,californian,722
44,0,Mikado,3400 Las Vegas Boulevard South,Las Vegas,+1-702-791-7111,asian,446.0,Sterling Brunch,3645 Las Vegas Boulevard South,Las Vegas,+1-702-739-4651,eclectic,673
45,0,Pinot Bistro,12969 Ventura Boulevard,Los Angeles,+1-818-990-0500,French,18.0,Rubin's Red Hots,15322 Ventura Boulevard,Encino,+1-818-905-6515,Hot Dogs,590
46,1,Masa's,648 Bush St.,San Francisco,+1-415-989-7154,French,106.0,Masa's,648 Bush St.,San Francisco,+1-415-989-7154,French,106
47,0,Em Press Court,3570 Las Vegas Boulevard South,Las Vegas,+1-702-731-7888,asian,438.0,Spago (Las Vegas),3500 Las Vegas Boulevard South,Las Vegas,+1-702-369-6300,California-style,670
48,1,Mesa Grill,102 5th Ave. Between 15th and 16th Sts.,New York,+1-212-807-7400,American,47.0,Mesa Grill,102 Fifth Ave.,New York,+1-212-807-7400,southwestern,47
49,0,Chin's,3200 Las Vegas Boulevard South,Las Vegas,+1-702-733-8899,Asian,67.0,Michael's Las Vegas,3595 Las Vegas Boulevard South,Las Vegas,+1-702-737-7111,continental,664
50,0,Patina,5955 Melrose Avenue,Los Angeles,+1-213-467-1108,Californian,16.0,mo better meatty meat,7261 melrose ave,Los Angeles,+1-213-935-5280,Hamburgers,579
51,0,Triangolo,345 E. 83rd St.,New York,+1-212-472-4488,Italian,363.0,Cafe Lalo,201 W. 83rd St.,New York City,+1-212-496-6031,coffeehouse,26
52,0,Gilliland's,2424 Main St.,Santa Monica,+1-310-392-3901,American,135.0,Chinese on Main,2709 Main St.,Santa Monica,+1-310-392-9025,Pacific New Wave,5
53,1,Nikolai's Roof,255 Courtland St. at Harris St.,Atlanta,+1-404-221-6362,Continental,87.0,Nikolai's Roof,255 Courtland St.,Atlanta,+1-404-221-6362,Continental,87
54,0,Dawat,210 E. 58th St.,New York,+1-212-355-7555,asian,32.0,Sparks Steak House,210 E. 46th St.,New York,+1-212-687-4855,Steakhouses,641
55,1,Le Bernardin,155 W. Boulevard Street,New York City,+1-212-4891515,French,41.0,Le Bernardin,155 W. Boulevard,New York City,+1-212-489-1515,Seafood,41
56,0,Faz,161 Sutter St.,San Francisco,+1-415-362-0404,Greek and Middle Eastern,469.0,Fleur de Lys,777 Sutter St.,San Francisco,+14156737779,French,100
57,0,Veni Vidi Vici,41 14th St.,Atlanta,+1-404-875-8424,italian,93.0,Bobby & June's Kountry Kitchen,375 14th St.,Atlanta,+1-404-876-3872,Southern/Hip-Hop,680
58,0,Mikado,3400 Las Vegas Boulevard South,Las Vegas,+1-702-791-7111,asian,446.0,Spago (Las Vegas),3500 Las Vegas Boulevard South,Las Vegas,+1-702-369-6300,californian,670
59,0,Cite,120 W. Boulevard,New York,+1-212-956-7100,French,220.0,Le Bernardin,155 W. 51st St.,New York City,+1-212-489-1515,Seafood,41
60,1,Oceana,55 E. 54th St.,New York,+1-212-759-5941,seafood,50.0,Oceana,55 E. 54th St.,New York City,+1-212-759-5941,Seafood,50
61,0,Toulouse,'B Peachtree Rd.',Atlanta,+1-404-351-9533,French,92.0,Original Pancake House,4330 Peachtree Rd.,Atlanta,+1-404-237-4116,American,708
62,0,Cafe Roma,3570 Las Vegas Boulevard South,Las Vegas,+1-702-731-7547,Coffee Shop,433.0,The Steak House,2880 Las Vegas Boulevard South,Las Vegas,+1-702-734-0410,Steakhouses,72
63,0,Manora,3226 Mission St.,San Francisco,+1415861-6224,asian,494.0,Boulevard,1 Mission St.,San Francisco,+14155436084,American (New),96
