id,label,left_name,left_addr,left_city,left_phone,left_category,left_class,right_name,right_addr,right_city,right_phone,right_category,right_class
0,0,Toulouse,'B Peachtree Road',Atlanta,+1-404-351-9533,French,92,White House Restaurant,3172 Peachtree Road Northeast,Atlanta,+1-404-237-7601,Diner,719
1,0,Gallagher's,228 West 52nd Street,New York,+1-212-245-5336,American,254,La Grenouille,3 E. 52nd St.,New York City,+1-212-752-1495,French (Classic),623
2,0,Center Stage Plaza Hotel,1 Main Street,Las Vegas,+1-702-386-2512,American,436,` chinois on main ',' 2709 main st. ',` santa monica ',+1-310-392-9025,Pacific New Wave,5
3,0,` Sa Tsu Ki `',' 3043 Buford Hwy . ',Atlanta,+1-404-325-5285,Asian,415,Havana Sandwich Shop,2905 Buford Highway,Atlanta,+1-404-636-4094,Cuban,695
4,0,` Pinot Bistro ',' 12969 Ventura Boulevard ',` Los Angeles ',+1-818-990-0500,French,18,Mulberry St.,17040 Ventura Boulevard,Encino,+1-818-906-8881,Pizza,580
5,0,China Grill,60 West 53rd Street,New York,+1-212-333-7788,American,219,Seryna,11 E. 53rd St.,New York City,+1-212-980-9393,Japanese,59
6,0,LeSpinasse,2 E 55th St.,New York,+1-212-339-6719,American,43,La Caravelle,33 West 55th Street,New York City,+1-212-586-4252,French (Classic),39
7,0,Tang Pavilion,65 W. 55th St.,New York,+1-212-956-6888,Asian,356,Menchanako-tei,39 West 55th Street,New York City,+1-212-247-1585,Japanese,627
8,0,Aquavit,13 West 54th Street,New York,+1-212-307-7311,Continental,24,Oceana,55 E. 54th St.,New York City,+1-212-759-5941,Seafood,50
9,0,Abbey,163 Ponce De Leon Ave.,Atlanta,+1-404-876-8532,International,379,Eats,600 Ponce De Leon Avenue,Atlanta,+1-404-888-9149,Italian,690
10,0,` Fifty Seven Fifty Seven ','57 E. 57th St.',` New York ',+1-212-758-5757,American,239,Oceana,55 E. 54th St.,New York City,+1-212-759-5941,Seafood,50
11,0,Grand Cafe Hotel Monaco,501 Geary Street,San Francisco,+1-415-292-0101,American,473,Mel's Drive-In,3355 Geary Street,San Francisco,+1-415-387-2244,Hamburger,739
12,0,Horseradish Grill,4320 Powers Ferry Road,Atlanta,+1-404-255-7277,Southern,398,C.A.R.E.Y\'s Corner,1215 Powers Ferry Road,Marietta,+1-770-933-0909,Hamburgers,686
13,0,Luna Si,1931 Peachtree Road,Atlanta,+1-404-355-5993,Continental,405,Original Pancake House,4330 Peachtree Road,Atlanta,+1-404-237-4116,American,708
14,0,Bruno,240 E. 58th St.,New York,+1-212-688-4190,Italian,195,Les Celebrites,155 W. 58th St.,New York City,+1-212-484-5113,French (Classic),42
15,0,Eclipse,8800 Melrose Avenue,Los Angeles,+1-310-724-5959,Californian,132,,,,,,unknown
16,0,Pacific Dining Car,6th Street,Los Angeles,+1-213-483-6000,American,153,` Andre 's French Restaurant`,401 S. 6th St.,Las Vegas,+1-702-385-5016,French (Classic),656
17,1,Rainbow Room,30 Rockefeller Plaza,New York,+1-212-632-5000,American,55,Rainbow Room,30 Rockefeller Plaza,New York City,+1-212-632-5000,American (New),55
18,1,`Cafe Claude`,7 Claude La . ,San Francisco,+1-415-392-3505,French,97,Cafe Claude,7 Claude Lane,San Francisco,+1-415-392-3505,French Bistro,97
19,0,Yolie's,3900 Paradise Road,Las Vegas,+1-702-794-0700,Steak House,452,Nicky Blair's,3925 Paradise Road,Las Vegas,+1-702-792-9900,Italian,668
20,0,Heera of India,"595 Piedmont Avenue, Rio Shopping Mall",Atlanta,+1-404-876-4408,Asian,83,` Rose of India `,308 E. Sixth Street,New York City,+1-212-533-5011,Indian,638
21,0,L ` Osteria Del Forno,519 Columbus Avenue,San Francisco,+1-415-982-1124,Italian,490,Campo Santo,240 Columbus Avenue,San Francisco,+1-415-433-9623,Mexican,724
22,0,Bertolini's,3570 Las Vegas Boulevard South,Las Vegas,+1-702-735-4663,Italian,427,Moongate,3400 Las Vegas Boulevard South,Las Vegas,+1-702-791-7352,Chinese,666
23,0,Maykadeh,470 Green Street,San Francisco,+1-415-362-8286,Greek and Middle Eastern,495,Greenwood's,1087 Green Street,Roswell,+1-770-992-5383,Southern/Soul,693
24,0,Dawat,210 East 58th Street,New York,+1-212-355-7555,Asian,32,Petrossian,182 W. 58th St.,New York City,+1-212-245-2214,Russian,52
25,0,The Bacchanal,3570 Las Vegas Boulevard South,Las Vegas,+1-702-731-7525,Only in Las Vegas,449,The Steak House,2880 Las Vegas Boulevard South,Las Vegas,+1-702-734-0410,Steakhouse,72
26,0,Posto,14928 Ventura Boulevard,Sherman Oaks,+1-818-784-4400,Italian,156,Rubin's Red Hots,15322 Ventura Boulevard,Encino,+1-818-905-6515,Hot Dog Stand,590
